burst,p256,f1,hr321,hr32,t50,t90 
1700,0.00604,-5.70533,0.51374,0.2802,0.73046,1.37555
4939,0.1186,-5.57982,0.46891,0.21947,0.84954,1.30242
606,0.02202,-5.50438,0.43087,0.19476,0.93328,1.31672
2079,-0.02733,-5.77924,0.44971,0.22568,0.86688,1.34021
3801,0.04336,-5.76173,0.48381,0.2927,1.09286,1.48787
2753,-0.00043,-5.5201,0.5556,0.31125,0.93651,1.33766
2925,0.11361,-5.74899,0.4113,0.17352,0.87806,1.23431
2688,0.03463,-5.50062,0.49172,0.2865,1.06386,1.55281
2477,0.11594,-5.61338,0.37985,0.27806,0.87806,1.20063
3350,0.03463,-5.46909,0.51512,0.22684,0.68124,1.11581
2119,-0.02503,-5.81146,0.42578,0.2581,0.74068,1.18458
3509,0.03463,-5.47874,0.39627,0.28279,0.7356,1.17447
686,-0.03152,-5.64819,0.5157,0.16824,0.69827,1.04673
2853,-0.06753,-5.49176,0.44427,0.35298,0.70381,1.14563
2662,0.17955,-5.39037,0.52471,0.29927,0.80182,1.20758
3908,0.00732,-5.90134,0.52999,0.30302,0.72787,1.14364
5434,-0.03621,-5.49827,0.54239,0.17515,0.82737,1.54456
3120,0.05994,-5.71287,0.40728,0.11456,0.98516,1.27527
3005,-0.04721,-5.36514,0.44034,0.17342,0.95231,1.42943
5416,0.1176,-5.46588,0.41567,0.14047,1.12215,1.36609
2267,-0.01592,-5.39616,0.49763,0.31307,0.7457,1.1486
5387,0.13354,-5.43713,0.47139,0.28577,1.07569,1.63548
1924,0.06707,-5.25226,0.47288,0.21855,0.80182,1.42423
2203,0.13481,-5.65996,0.4354,0.15499,0.51375,1.17909
2306,0.00346,-5.47563,0.49109,0.40289,0.59857,1.32469
2432,0.10003,-5.3884,0.4349,0.13933,0.65128,1.13456
3072,0.02776,-5.67644,0.43938,0.16974,0.59857,0.93972
3070,0.10653,-5.15024,0.49427,0.29588,0.87437,1.31605
2191,-0.0804,-5.33735,0.5735,0.30435,0.86688,1.40278
1126,-0.09637,-5.6534,0.59368,0.37103,0.98227,1.30724
2484,0.19061,-5.59244,0.54811,0.34182,0.65128,1.0566
803,0.07188,-5.76135,0.46375,0.29636,0.64503,0.85926
3276,0.10278,-5.55651,0.31084,0.20774,0.79071,1.30518
2916,0.01242,-5.51201,0.36797,0.14917,0.75066,1.00621
1452,-0.10679,-5.91329,0.41151,0.27578,0.79741,1.08493
2143,-0.10958,-5.366,0.54209,0.35675,1.06625,1.34776
5415,0.14737,-5.44973,0.36986,0.12825,0.90655,1.41256
3608,0.23019,-5.52876,0.52251,0.17777,0.70927,1.22778
3040,0.23019,-5.50209,0.41028,0.15575,1.04673,1.41471
3012,-0.00087,-5.93244,0.40442,0.17333,0.78845,0.99651
2985,-0.05799,-5.77057,0.3719,0.17651,1.13659,1.49282
1580,0.08243,-5.32232,0.53388,0.35632,1.18093,1.58937
3322,-0.11295,-5.94226,0.48182,0.34962,1.05538,1.42684
2102,0.2079,-5.60817,0.47928,0.1878,0.55437,1.06145
3805,-0.08884,-5.70914,0.35051,0.17186,0.96755,1.47828
2510,-0.09583,-5.38168,0.39288,0.18647,0.70381,1.19179
1561,-0.09205,-5.76616,0.39632,0.08584,0.92675,1.35518
2197,0.01703,-5.38469,0.36326,0.17261,1.08493,1.60136
2019,0.16167,-5.11176,0.42458,0.20851,1.08034,1.33638
1472,0.16465,-5.29378,0.37536,0.17177,0.78845,1.19712
2864,-0.16431,-5.32922,0.5179,0.34205,0.97644,1.49058
3416,0.11826,-5.71794,0.42008,0.03996,1.11474,1.57296
2252,-0.19314,-5.63284,0.49837,0.2509,1.10285,1.54812
2931,-0.10958,-5.42765,0.48839,0.27546,1.14264,1.66742
1967,0.23477,-5.35739,0.37431,0.20838,1.00484,1.40497
2950,0.09899,-5.50654,0.34513,0.08036,1.11368,1.44066
2315,0.22037,-5.16456,0.49728,0.27918,0.97937,1.28619
3370,-0.15802,-5.87587,0.43768,0.25181,0.77232,1.58469
3015,0.24428,-5.23157,0.53043,0.31632,1.04922,1.42736
3026,0.0187,-5.66311,0.35139,0.08316,0.58433,1.04171
3503,0.11793,-5.87729,0.36205,0.10426,0.56205,1.4216
2253,0.33766,-5.59328,0.47023,0.24794,1.06145,1.29332
5517,0.24748,-5.72218,0.45951,0.22601,0.42943,1.16029
398,0.23401,-5.22548,0.41709,0.18917,1.01569,1.40824
2340,0.20575,-5.38814,0.34822,0.15064,1.06386,1.35149
2719,0.09447,-6.19702,0.5246,0.28468,0.89609,1.54258
2697,0.09726,-5.38884,0.38003,0.0559,0.67541,1.13659
3886,0.32428,-5.71357,0.43104,0.14826,1.02366,1.09621
594,-0.05948,-5.30744,0.58914,0.4199,1.14264,1.42943
2706,0.28556,-5.19712,0.5058,0.31287,0.90998,1.33766
1559,-0.01728,-5.2596,0.57606,0.43105,1.10065,1.51033
1540,-0.05355,-5.67557,0.36557,0.177,1.20758,1.7437
1730,-0.22841,-5.70355,0.42009,0.18022,1.13862,1.49192
2219,0.20978,-5.74545,0.37977,0.086,0.62572,1.04922
2304,-0.1152,-5.52331,0.40965,0.15935,1.25256,1.73483
3871,0.04336,-5.23923,0.35852,0.13134,0.90998,1.6444
704,0.1364,-5.34232,0.55242,0.35481,1.35763,1.6617
3217,-0.00261,-5.21862,0.49976,0.15784,1.22115,1.65159
3869,0.00087,-5.89676,0.40513,0.15115,0.43965,0.93651
3465,-0.24949,-5.33079,0.53276,0.36448,0.89254,1.23188
3471,-0.22475,-5.52788,0.44906,0.16953,0.52634,1.29684
332,0.07482,-5.39559,0.33342,0.136,1.13862,1.70436
5555,-0.10292,-5.50297,0.46502,0.11739,1.26255,1.69211
5516,-0.24489,-5.86487,0.39242,0.27558,1.0566,1.44217
2620,0.1329,-5.68366,0.29112,0.02468,0.77931,1.276
1218,0.09517,-5.74795,0.27594,0.12251,0.61236,0.97644
5541,0.21906,-5.43404,0.32794,0.09553,0.76997,1.42213
4216,0.17984,-5.24875,0.40407,0.03952,1.02102,1.40606
3168,-0.29499,-5.60797,0.56593,0.19034,0.81902,1.2572
3472,0.1209,-5.55895,0.3067,0.03963,0.61236,1.20238
1447,0.2413,-5.06342,0.52918,0.36143,1.04673,1.35641
563,0.27554,-5.17672,0.3901,0.17204,0.93651,1.35272
2189,-0.27984,-5.74073,0.34688,0.21697,0.94606,1.31268
2932,-0.23958,-5.73723,0.40199,0.30531,0.59923,0.95999
2311,-0.12552,-5.52372,0.33509,0.02923,0.95075,1.4216
2430,-0.15864,-5.48497,0.37483,0.05403,1.04673,1.44864
2505,-0.16368,-5.64421,0.45722,0.22809,1.27674,1.81329
3903,-0.13253,-5.54646,0.55322,0.184,1.25022,1.82238
3655,-0.05453,-5.59512,0.32518,0.01543,0.72526,1.28834
1396,0.22583,-5.58383,0.32604,0.11074,1.17909,1.32205
1446,-0.31605,-5.56439,0.52844,0.30613,0.96454,1.52551
5495,0.32715,-5.47284,0.42222,0.13606,0.51375,1.41949
2087,0.32325,-5.50289,0.54692,0.3125,0.43965,1.00484
1279,0.08063,-5.73623,0.2773,0.02911,1.07569,1.57703
4959,-0.30627,-5.37453,0.473,0.2601,1.04171,1.49593
5515,0.00689,-5.36682,0.3607,0.14591,1.38596,1.6966
2385,-0.25026,-5.94405,0.54436,0.43584,0.8396,1.25178
3102,-0.02,-5.03098,0.57996,0.38437,1.1754,1.56886
764,-0.01323,-5.63227,0.23538,0.03921,0.89254,1.31806
2181,-0.13253,-5.59818,0.45882,0.1857,1.2595,1.98544
3358,-0.03198,-5.53665,0.25164,0.02736,1.00208,1.39836
